Time,R1,R2,R3,R4,Ave,SD
227.5,742.425,743.651,741.134,741.083,742.07325,1.221448423
228,742.274,743.808,741.075,741.05,742.05175,1.302734656
228.5,742.132,743.758,741.138,741.067,742.02375,1.254228149
229,742.255,743.808,741.102,740.983,742.037,1.312644405
229.5,742.277,743.816,740.967,740.965,742.00625,1.355574017
230,742.206,744.203,740.847,740.934,742.0475,1.565501517
230.5,742.099,744.234,740.887,740.716,741.984,1.621414814
231,742.082,744.411,740.788,740.607,741.972,1.75365352
231.5,741.877,744.613,740.84,740.773,742.02575,1.79734756
232,742.073,744.749,740.853,740.409,742.021,1.949996239
